snapshot,mu_t,min_mu_t_alpha_1p5,gSCR_t,relative_margin_rG,min_kappa,median_kappa,min_kappa_bus,binding_node_count,violating_node_count,total_GFL_exposure,total_GFM_strength,local_relative_slack_min,gershgorin_conservatism_gap
110.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
111.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
112.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
113.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
114.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
115.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
116.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
117.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
118.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
119.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
120.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
121.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
122.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
123.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
124.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
125.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
126.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
127.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
128.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
129.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
130.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
131.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
132.0,-172400.68206144538,-172400.68206144538,0.003423073645494201,-0.997717950903004,-172932.0,-3561.5,8.0,36.0,36.0,357390.0,11093.0,-115288.0,172930.50342307365
